,R2,Adjusted_R2,MAE,RMSE,CV_R2_mean,CV_R2_std,Train_time_sec
Polynomial Regression (deg2),0.7865,0.7844,112609.69,174448.81,0.772,0.0246,0.12
SVR (RBF),0.7782,0.776,114498.59,177829.8,0.7666,0.0169,0.86
Neural Net (MLP),0.7778,0.7756,116059.24,177969.88,0.7622,0.0204,2.08
XGBoost,0.7506,0.748,115762.85,188581.77,0.7842,0.017,0.16
Ridge Regression,0.7473,0.7448,119936.35,189799.43,0.7666,0.0192,0.02
Linear Regression,0.7467,0.7442,120142.12,190034.0,0.7667,0.0192,0.03
Lasso Regression,0.7397,0.7371,121649.74,192641.54,0.7649,0.02,0.02
LightGBM,0.7379,0.7353,118402.51,193305.94,0.7639,0.0171,0.16
Gradient Boosting,0.7369,0.7343,118092.99,193671.93,0.7791,0.0163,0.64
KNN Regressor,0.7177,0.7148,118600.77,200635.36,0.7398,0.016,0.02
Random Forest,0.7045,0.7016,118858.37,205242.91,0.7614,0.0249,5.43
Decision Tree,0.5473,0.5428,137047.96,254048.27,0.6932,0.0246,0.03
